2026-03-10 16:02:32,629 | INFO | get_bs_data | make_inconsistent_tasks start db=D:\quant.duckdb earliest_date=2018-12-01
2026-03-10 16:02:32,629 | INFO | get_bs_data | init_db start path=D:\quant.duckdb
2026-03-10 16:02:32,741 | INFO | get_bs_data | init_db done path=D:\quant.duckdb ms=125
2026-03-10 16:02:34,677 | INFO | get_bs_data | make_inconsistent_tasks A:头缺数据 count=25955 elapsed=1.870s
2026-03-10 16:02:46,741 | INFO | get_bs_data | make_inconsistent_tasks B：日线不连续 count=214201 elapsed=12.064s
2026-03-10 16:02:48,980 | INFO | get_bs_data | make_inconsistent_tasks C：周线不连续 count=127527 elapsed=2.234s
2026-03-10 16:03:13,572 | INFO | get_bs_data | make_inconsistent_tasks D：分钟缺数据 count=9911 elapsed=24.590s
2026-03-10 16:03:21,772 | INFO | get_bs_data | make_inconsistent_tasks summary generated=377594 appended=373605 pending_before=0 pending_after=373605 by_freq={'15': 10772, '30': 5720, '60': 5206, 'd': 219317, 'w': 132590} append_elapsed=7.088s total_elapsed=49.145s
2026-03-10 16:03:21,930 | INFO | get_bs_data | init_db start path=D:\quant.duckdb
2026-03-10 16:03:22,222 | INFO | get_bs_data | init_db done path=D:\quant.duckdb ms=281
2026-03-10 16:03:22,222 | INFO | get_bs_data | main db path=D:\quant.duckdb
2026-03-10 16:03:26,363 | INFO | get_bs_data | 开始处理 373605 个任务 freqs=['d', 'w', '15', '30', '60']
2026-03-10 16:03:26,384 | INFO | get_bs_data | 开始任务池 attempt=1/3 tasks=373605 processes=6 freqs=['d', 'w', '15', '30', '60']
2026-03-10 16:03:30,346 | INFO | get_bs_data | 启动进程 23432，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:03:31,460 | INFO | get_bs_data | 启动进程 23844，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:03:32,571 | INFO | get_bs_data | 启动进程 1488，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:03:33,669 | INFO | get_bs_data | 启动进程 22504，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:03:34,781 | INFO | get_bs_data | 启动进程 2712，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:03:36,180 | INFO | get_bs_data | 启动进程 37608，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:04:37,008 | WARNING | get_bs_data | 任务池长时间无durable进度 idle=60.7s completed=0/373605 alive_processes=6 by_freq=d:tasks=0,rows=0, w:tasks=0,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:05:37,551 | WARNING | get_bs_data | 任务池长时间无durable进度 idle=121.2s completed=0/373605 alive_processes=6 by_freq=d:tasks=0,rows=0, w:tasks=0,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:06:37,083 | ERROR | get_bs_data | 任务池无durable进度超过阈值: idle=180.7s completed=0/373605，终止当前批次尝试
2026-03-10 16:06:37,115 | INFO | get_bs_data | 进程 23432 已关闭
2026-03-10 16:06:37,119 | INFO | get_bs_data | 进程 23844 已关闭
2026-03-10 16:06:37,136 | INFO | get_bs_data | 进程 1488 已关闭
2026-03-10 16:06:37,164 | INFO | get_bs_data | 进程 22504 已关闭
2026-03-10 16:06:37,181 | INFO | get_bs_data | 进程 2712 已关闭
2026-03-10 16:06:37,199 | INFO | get_bs_data | 进程 37608 已关闭
2026-03-10 16:06:40,295 | WARNING | get_bs_data | 任务池停滞后重试 next_attempt=2/3 remaining=373605
2026-03-10 16:06:40,318 | INFO | get_bs_data | 开始任务池 attempt=2/3 tasks=373605 processes=6 freqs=['d', 'w', '15', '30', '60']
2026-03-10 16:06:43,620 | INFO | get_bs_data | 启动进程 23764，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:06:44,915 | INFO | get_bs_data | 启动进程 34348，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:06:46,181 | INFO | get_bs_data | 启动进程 29404，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:06:47,381 | INFO | get_bs_data | 启动进程 25396，处理 62267 个任务，预估成本=7578395.6
